GameName,Category,FullPath,SizeBytes
Borderlands.GOTY,1DVD,G:\___ One-DVD READY GAMES ___\Borderlands.GOTY,3515299717
Borderlands.The.Pre.Sequel,1DVD,G:\___ One-DVD READY GAMES ___\Borderlands.The.Pre.Sequel,6357595686
Bound.by.Flame.SPARE,1DVD,G:\___ One-DVD READY GAMES ___\Bound.by.Flame.SPARE,3446880998
Brink,1DVD,G:\___ One-DVD READY GAMES ___\Brink,5926841980
Brothers.in.Arms.Hells.Highway,1DVD,G:\___ One-DVD READY GAMES ___\Brothers.in.Arms.Hells.Highway,5369794253
Brunswick.Pro.Bowling,1DVD,G:\___ One-DVD READY GAMES ___\Brunswick.Pro.Bowling,1601547556
Brutal.Legend,1DVD,G:\___ One-DVD READY GAMES ___\Brutal.Legend,6339887340
BulletStorm,1DVD,G:\___ One-DVD READY GAMES ___\BulletStorm,5250175787
Bully - Scholarship Edition (USA) (EnFrDeEsIt),1DVD,G:\___ One-DVD READY GAMES ___\Bully - Scholarship Edition (USA) (EnFrDeEsIt),3155866949
Burnout.Paradise.The.Ultimate.Box,1DVD,G:\___ One-DVD READY GAMES ___\Burnout.Paradise.The.Ultimate.Box,3455147638
Call of Duty - Black Ops II (World),1DVD,G:\___ One-DVD READY GAMES ___\Call of Duty - Black Ops II (World),7919429435
Call of Duty - Black Ops III (USA Europe) (EnFrDeEsItPtPlRu),1DVD,G:\___ One-DVD READY GAMES ___\Call of Duty - Black Ops III (USA Europe) (EnFrDeEsItPtPlRu),4075143943
Call of Duty - Modern Warfare 3 (USA Europe),1DVD,G:\___ One-DVD READY GAMES ___\Call of Duty - Modern Warfare 3 (USA Europe),8007808953
Call of Duty - World at War (USA Europe),1DVD,G:\___ One-DVD READY GAMES ___\Call of Duty - World at War (USA Europe),6792990744
Call of Duty 2 (USA Europe),1DVD,G:\___ One-DVD READY GAMES ___\Call of Duty 2 (USA Europe),5586601753
Call of Duty 3 (USA Europe),1DVD,G:\___ One-DVD READY GAMES ___\Call of Duty 3 (USA Europe),6190037625
Call Of Duty 4 Modern Warfare,1DVD,G:\___ One-DVD READY GAMES ___\Call Of Duty 4 Modern Warfare,6935719846
Call Of Duty Black Ops,1DVD,G:\___ One-DVD READY GAMES ___\Call Of Duty Black Ops,7265640548
Call Of Duty Black Ops 2,1DVD,G:\___ One-DVD READY GAMES ___\Call Of Duty Black Ops 2,7919429435
Call Of Duty Modern Warfare 3,1DVD,G:\___ One-DVD READY GAMES ___\Call Of Duty Modern Warfare 3,8007808953
Call.Of.Duty.Black.Ops.III,1DVD,G:\___ One-DVD READY GAMES ___\Call.Of.Duty.Black.Ops.III,4075143943
Call.Of.Juarez.Bound.In.Blood,1DVD,G:\___ One-DVD READY GAMES ___\Call.Of.Juarez.Bound.In.Blood,4668918048
Call.of.Juarez.The.Cartel,1DVD,G:\___ One-DVD READY GAMES ___\Call.of.Juarez.The.Cartel,6497697598
Call_Of_Duty_World_At_War,1DVD,G:\___ One-DVD READY GAMES ___\Call_Of_Duty_World_At_War,5915881204
Capcom.Digital.Collection,1DVD,G:\___ One-DVD READY GAMES ___\Capcom.Digital.Collection,2759775956
Capitan.America.Super.Solder,1DVD,G:\___ One-DVD READY GAMES ___\Capitan.America.Super.Solder,6355749322
Carrier.Command.Gaea.Mission,1DVD,G:\___ One-DVD READY GAMES ___\Carrier.Command.Gaea.Mission,1817082757
Cars.2,1DVD,G:\___ One-DVD READY GAMES ___\Cars.2,3062366528
Cars.3.Driven.to.Win,1DVD,G:\___ One-DVD READY GAMES ___\Cars.3.Driven.to.Win,2826108752
