GameName	Category	FullPath
Dreamcast Collection (USA Europe)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Dreamcast Collection (USA Europe)
DreamWorks How to Train Your Dragon (USA)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\DreamWorks How to Train Your Dragon (USA)
DreamWorks Megamind - Ultimate Showdown (USA Europe)	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\DreamWorks Megamind - Ultimate Showdown (USA Europe)
Dreamworks Super Star Kartz	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Dreamworks Super Star Kartz
Driver San Francisco	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Driver San Francisco
Duck Dynasty	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Duck Dynasty
DuckTales - Remastered (XBLA)	___ XBLA Games ___	G:\___ XBLA Games ___\DuckTales - Remastered (XBLA)
Duke Nukem - Manhattan Project (XBLA)	___ XBLA Games ___	G:\___ XBLA Games ___\Duke Nukem - Manhattan Project (XBLA)
Duke Nukem 3D (XBLA)	___ XBLA Games ___	G:\___ XBLA Games ___\Duke Nukem 3D (XBLA)
Dungeon Siege 3	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Dungeon Siege 3
Dynasty Warriors - Gundam	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Dynasty Warriors - Gundam
Dynasty Warriors - Gundam 2	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Dynasty Warriors - Gundam 2
Dynasty Warriors - Gundam 3	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Dynasty Warriors - Gundam 3
Dynasty Warriors - Strikeforce	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Dynasty Warriors - Strikeforce
Dynasty Warriors 5 - Empires	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Dynasty Warriors 5 - Empires
Dynasty Warriors 6	___ One-DVD READY GAMES ___	G:\___ One-DVD READY GAMES ___\Dynasty Warriors 6
